"state","district","market","commodity","variety","arrival_date","min_price","max_price","modal_price","update_date"
"Chattisgarh","Balrampur","Ramanujganj","Millets","Other","31/01/2023","1200","1200","1200","2023-10-11"
"Chattisgarh","Balrampur","Ramanujganj","Millets","Other","28/02/2023","1200","1200","1200","2023-10-11"
"Chattisgarh","Balrampur","Ramanujganj","Millets","Other","29/03/2023","1000","1000","1000","2023-10-11"
"Chattisgarh","Balrampur","Ramanujganj","Millets","Other","31/03/2023","1200","1200","1200","2023-10-11"
"Chattisgarh","Balrampur","Ramanujganj","Millets","Other","28/04/2023","1200","1200","1200","2023-10-11"
"Chattisgarh","Balrampur","Ramanujganj","Millets","Other","29/04/2023","1200","1200","1200","2023-10-11"
"Chattisgarh","Balrampur","Ramanujganj","Millets","Other","31/05/2023","1200","1200","1200","2023-10-11"
"Chattisgarh","Balrampur","Ramanujganj","Millets","Other","30/06/2023","1200","1200","1200","2023-10-11"
"Chattisgarh","Balrampur","Ramanujganj","Millets","Other","31/07/2023","1200","1200","1200","2023-10-11"
"Chattisgarh","Balrampur","Ramanujganj","Millets","Other","22/08/2023","1200","1200","1200","2023-10-11"
"Chattisgarh","Balrampur","Ramanujganj","Millets","Other","31/08/2023","1200","1200","1200","2023-10-11"
"Chattisgarh","Balrampur","Ramanujganj","Millets","Other","30/09/2023","1200","1200","1200","2023-10-11"
"Chattisgarh","Kanker","Sambalpur","Millets","Other","22/01/2023","2000","2000","2000","2023-10-11"
"Chattisgarh","Kanker","Sambalpur","Millets","Other","23/01/2023","2000","2000","2000","2023-10-11"
"Chattisgarh","Narayanpur","Narayanpur","Millets","Other","02/01/2023","3500","3700","3600","2023-10-11"
"Chattisgarh","Narayanpur","Narayanpur","Millets","Other","07/01/2023","3500","3800","3700","2023-10-11"
"Chattisgarh","Narayanpur","Narayanpur","Millets","Other","08/01/2023","3500","3700","3600","2023-10-11"
"Chattisgarh","Narayanpur","Narayanpur","Millets","Other","09/01/2023","3500","3800","3700","2023-10-11"
"Chattisgarh","Narayanpur","Narayanpur","Millets","Other","11/01/2023","3500","3800","3700","2023-10-11"
"Chattisgarh","Narayanpur","Narayanpur","Millets","Other","13/01/2023","3500","3800","3700","2023-10-11"
"Chattisgarh","Narayanpur","Narayanpur","Millets","Other","16/01/2023","3500","3800","3700","2023-10-11"
"Chattisgarh","Narayanpur","Narayanpur","Millets","Other","17/01/2023","3500","3800","3700","2023-10-11"
"Chattisgarh","Narayanpur","Narayanpur","Millets","Other","20/01/2023","3600","3800","3700","2023-10-11"
"Chattisgarh","Narayanpur","Narayanpur","Millets","Other","21/01/2023","3600","3800","3700","2023-10-11"
"Chattisgarh","Narayanpur","Narayanpur","Millets","Other","22/01/2023","3500","3700","3600","2023-10-11"
"Chattisgarh","Narayanpur","Narayanpur","Millets","Other","25/01/2023","3600","3800","3700","2023-10-11"
"Chattisgarh","Narayanpur","Narayanpur","Millets","Other","27/01/2023","3500","3700","3600","2023-10-11"
"Chattisgarh","Narayanpur","Narayanpur","Millets","Other","28/01/2023","3500","3700","3600","2023-10-11"
"Chattisgarh","Narayanpur","Narayanpur","Millets","Other","30/01/2023","3500","3700","3600","2023-10-11"
"Chattisgarh","Narayanpur","Narayanpur","Millets","Other","01/02/2023","2800","3000","2900","2023-10-11"
